機関,職種/タイトル,勤務地,締切,タグ,対象外,URL
JREC-IN URA / 先端科学・社会共創推進機構,先端科学・社会共創推進機構　特任教員（知財・マーケティング担当URA）の公募,,2026年07月16,"URA/研究推進,産学連携/技術移転",,https://jrecin.jst.go.jp/seek/SeekJorDetail?id=D126071397
JST,ファンディング(プロジェクト管理等)／AI for Science革新的研究推進事業（ARiSE）マテリアル / 主任専門員・専門員,東京都千代田区,随時,"URA/研究推進,ファンディング",,https://www.jst.go.jp/saiyou/pdf/bosyu260624_arise02.pdf
JST,ファンディング(プロジェクト管理等)／AI for Science革新的研究推進事業（ARiSE) / 主任専門員・専門員,東京都千代田区,随時,"URA/研究推進,ファンディング",,https://www.jst.go.jp/saiyou/pdf/bosyu260624_arise.pdf
JST,ファンディング(プロジェクト管理等)／戦略的創造研究推進事業（ERATO）ICT分野 / 主任専門員・専門員,東京都千代田区,随時,"URA/研究推進,ファンディング",,https://www.jst.go.jp/saiyou/pdf/bosyu260624_erato.pdf
JST,ファンディング(プロジェクト管理等)／戦略的創造研究推進事業（ERATO）物理分野 / 主任専門員,東京都千代田区,随時,"URA/研究推進,ファンディング",,https://www.jst.go.jp/saiyou/pdf/bosyu260507_erato.pdf
JST,ファンディング(プロジェクト管理等)／戦略的創造研究推進事業（ERATO）ライフサイエンス分野 / 主任専門員・専門員,東京都千代田区,随時,"URA/研究推進,ファンディング",,https://www.jst.go.jp/saiyou/pdf/bosyu250422_erato01.pdf
JREC-IN URA / 先端科学・社会共創推進機構,先端科学・社会共創推進機構　特任教員（生命科学系担当URA）の公募,,2026年07月27,URA/研究推進,,https://jrecin.jst.go.jp/seek/SeekJorDetail?id=D126072173
JREC-IN URA / 千葉大学,高度特定専門員（リサーチアドミニストレーター（URA））の公募,,2026年07月28,URA/研究推進,,https://jrecin.jst.go.jp/seek/SeekJorDetail?id=D126072217
JREC-IN URA / 国立大学法人熊本大学,国立大学法人熊本大学　URA（職名：研究コーディネーター）【研究倫理系】の公募,,2026年07月21,URA/研究推進,,https://jrecin.jst.go.jp/seek/SeekJorDetail?id=D126071691
JREC-IN URA / 国立研究開発法人物質・材料研究機構,【研究×起業支援】事業化支援コーディネーター [月30h程度/フルリモート可],,2026年07月21,産学連携/技術移転,,https://jrecin.jst.go.jp/seek/SeekJorDetail?id=D126071670
JREC-IN URA / 弘前大学,弘前大学　研究・イノベーション推進機構　特任教員（URA）（特任助教又は特任助手）の公募,,2026年07月22,URA/研究推進,,https://jrecin.jst.go.jp/seek/SeekJorDetail?id=D126071825
JST,知的財産／知財集約・活用（ライセンス担当材料系） / 主任専門員,東京都千代田区,随時,産学連携/技術移転,,https://www.jst.go.jp/saiyou/pdf/bosyu260724_chizai.pdf
JST,ファンディング(プロジェクト管理等)／先端研究基盤刷新事業及び産業・科学革新人材事業 / 主任専門員・専門員,東京都千代田区,2026年08月15日※,ファンディング,,https://www.jst.go.jp/saiyou/pdf/bosyu260724_innova.pdf
JST,ファンディング(プロジェクト管理等)／CREST・さきがけ（化学、物性・材料、量子、デバイス等分野） / 主任専門員・専門員,東京都千代田区,随時,ファンディング,,https://www.jst.go.jp/saiyou/pdf/bosyu260616_kisoken.pdf
JST,ファンディング(プロジェクト管理等)／ムーンショット型研究開発事業（目標２） / 技術主幹,東京都千代田区,随時,ファンディング,,https://www.jst.go.jp/saiyou/pdf/bosyu260615_MS02.pdf
JST,ファンディング(プロジェクト管理等)／ムーンショット型研究開発事業（目標１０） / 主任専門員・専門員,東京都千代田区,随時,ファンディング,,https://www.jst.go.jp/saiyou/pdf/bosyu260615_MS01.pdf
JST,ファンディング（プロジェクト管理等）／ムーンショット型研究開発事業（目標１０） / 技術主幹,東京都千代田区,随時,ファンディング,,https://www.jst.go.jp/saiyou/pdf/bosyu260522_MS02.pdf
JST,ファンディング（プロジェクト管理等）／ムーンショット型研究開発事業（目標８） / 技術主幹,東京都千代田区,随時,ファンディング,,https://www.jst.go.jp/saiyou/pdf/bosyu260522_MS.pdf
JST,調査・分析・発表／CRDS調査・分析／AI for Science・研究基盤・産学連携 / フェロー,東京都千代田区,随時,産学連携/技術移転,,https://www.jst.go.jp/saiyou/pdf/bosyu260518_crds.pdf
JST,ファンディング(プロジェクト管理等)／「日ASEAN科学技術・イノベーション協働連携事業」(NEXUS) / 主任専門員・専門員,東京都千代田区,随時,ファンディング,,https://www.jst.go.jp/saiyou/pdf/bosyu260511_nexus.pdf
JST,ファンディング(プロジェクト管理等)／CRONOS / 主任専門員・専門員,東京都千代田区,随時,ファンディング,,https://www.jst.go.jp/saiyou/pdf/bosyu260130_cronos.pdf
JST,ファンディング(プロジェクト管理等)／先端研究基盤刷新事業及び産業・科学革新人材事業 / 主任専門員・専門員,東京都千代田区,2026年08月15日※,ファンディング,,https://www.jst.go.jp/saiyou/pdf/bosyu260724_innova.pdf
JST,ファンディング(プロジェクト管理等)／ムーンショット型研究開発事業（目標３） / 主任専門員・専門員,東京都千代田区,随時,ファンディング,,https://www.jst.go.jp/saiyou/pdf/bosyu260413_MS.pdf
AIST,パーマネント型研究員,,,,,https://www.aist.go.jp/aist_j/humanres/02kenkyu/tenured.html
AIST,カムバック採用（総合職・地域型・特定業務）,,,,,https://www.aist.go.jp/aist_j/humanres/comeback.html
AIST,エネルギー・環境領域の公募概要,,,,,https://www.aist.go.jp/aist_j/humanres/02kenkyu/task.html#ENEENV
AIST,生命工学領域の公募概要,,,,,https://www.aist.go.jp/aist_j/humanres/02kenkyu/task.html#LSBT
AIST,情報・人間工学領域の公募概要,,,,,https://www.aist.go.jp/aist_j/humanres/02kenkyu/task.html#ITHF
