機関,職種/タイトル,勤務地,締切,タグ,対象外,URL
JST,ファンディング(プロジェクト管理等)／AI for Science革新的研究推進事業（ARiSE）マテリアル / 主任専門員・専門員,東京都千代田区,随時,"URA/研究推進,ファンディング",,https://www.jst.go.jp/saiyou/pdf/bosyu260624_arise02.pdf
JST,ファンディング(プロジェクト管理等)／AI for Science革新的研究推進事業（ARiSE) / 主任専門員・専門員,東京都千代田区,随時,"URA/研究推進,ファンディング",,https://www.jst.go.jp/saiyou/pdf/bosyu260624_arise.pdf
JST,ファンディング(プロジェクト管理等)／戦略的創造研究推進事業（ERATO）ICT分野 / 主任専門員・専門員,東京都千代田区,随時,"URA/研究推進,ファンディング",,https://www.jst.go.jp/saiyou/pdf/bosyu260624_erato.pdf
JST,ファンディング(プロジェクト管理等)／日本の科学技術を変える「研究開発マネジメント人材」 / 研究開発マネジメント専門員,東京都千代田区,2026年07月13日,"PO/PM系,ファンディング",,https://www.jst.go.jp/personnel/3rd-div/rdm/recruit.html
JST,ファンディング(プロジェクト管理等)／戦略的創造研究推進事業（ERATO）物理分野 / 主任専門員,東京都千代田区,随時,"URA/研究推進,ファンディング",,https://www.jst.go.jp/saiyou/pdf/bosyu260507_erato.pdf
JST,ファンディング(プロジェクト管理等)／戦略的創造研究推進事業（ERATO）ライフサイエンス分野 / 主任専門員・専門員,東京都千代田区,随時,"URA/研究推進,ファンディング",,https://www.jst.go.jp/saiyou/pdf/bosyu250422_erato01.pdf
JREC-IN URA / 東京大学,東京大学　大学院新領域創成科学研究科　リサーチアドミニストレーター（URA）の公募（学術経営戦略支援室）,,2026年07月02,URA/研究推進,,https://jrecin.jst.go.jp/seek/SeekJorDetail?id=D126070143
JREC-IN URA / 研究推進機構,研究推進機構 ＵＲＡ（臨床研究・契約職員）の公募,,2026年07月02,URA/研究推進,,https://jrecin.jst.go.jp/seek/SeekJorDetail?id=D126070198
JREC-IN URA / 神戸大学,神戸大学　スタートアップ創出・育成及び関連業務に従事する特命職員の公募,,2026年07月02,産学連携/技術移転,,https://jrecin.jst.go.jp/seek/SeekJorDetail?id=D126070114
JREC-IN URA / 福岡工業大学,URA人材の公募,,2026年07月01,URA/研究推進,,https://jrecin.jst.go.jp/seek/SeekJorDetail?id=D126070071
JREC-IN URA / 筑波大学,専門職業務職員 （リサーチ・アドミニストレーター（チーフURA・URA））の公募,,2026年07月01,URA/研究推進,,https://jrecin.jst.go.jp/seek/SeekJorDetail?id=D126070096
JREC-IN URA / 自然科学研究機構,URA職員（特任准教授、特任助教又は特任専門員）の公募【採用枠（B）】,,2026年07月01,URA/研究推進,,https://jrecin.jst.go.jp/seek/SeekJorDetail?id=D126070003
JST,ファンディング(プロジェクト管理等)／CREST・さきがけ（化学、物性・材料、量子、デバイス等分野） / 主任専門員・専門員,東京都千代田区,随時,ファンディング,,https://www.jst.go.jp/saiyou/pdf/bosyu260616_kisoken.pdf
JST,ファンディング(プロジェクト管理等)／ムーンショット型研究開発事業（目標２） / 技術主幹,東京都千代田区,随時,ファンディング,,https://www.jst.go.jp/saiyou/pdf/bosyu260615_MS02.pdf
